id,title,acceptance_date,lact_number,status
102034,Yer qa’ri davlat fondi ma’lumotlarini yuritish tartibini takomillashtirish to‘g‘risida,26.07.2025,467,Y
102035,Davlat organlari va tashkilotlarda ijro intizomini yanada mustahkamlashning qo‘shimcha chora-tadbirlari to‘g‘risida,25.07.2025,PF-117,Y
102036,O‘zbekiston Respublikasi Kambag‘allikni qisqartirish va bandlik vazirligi tomonidan qabul qilingan ayrim idoraviy normativ-huquqiy hujjatlarga o‘zgartirishlar kiritish to‘g‘risida,25.07.2025,3653,Y
102037,Bojxona kirim orderining shakli va uni to‘ldirish qoidalariga o‘zgartirishlar va qo‘shimcha kiritish haqida,25.07.2025,3525-1,Y
102038,Paxta xomashyosi yetishtirish xarajatlarini muqobil manbalar hisobidan moliyalashtirish va samarali faoliyat yuritayotgan qishloq xo‘jaligi subyektlarini yanada qo‘llab-quvvatlash chora-tadbirlari to‘g‘risida,24.07.2025,466,Y
102039,Buvayda tuman mahalliy budjetiga o‘zgartirish kiritish to‘g‘risida,24.07.2025,VII-11-81-11-154-K/25,Y
102040,"Karmana tumanidagi geografik obyektlarga nom berish, ko‘chalarni toifalarga ajratish va qayta nomlash to‘g‘risida",24.07.2025,VII-10-82-5-71-K/25,Y
102041,Mehnat normalarini ishlab chiqish va joriy qilish tartibi to‘g‘risidagi namunaviy nizomni tasdiqlash haqida,24.07.2025,465,Y
102042,"“Ayollar daftari”, “Yoshlar daftari” va “Saxovat va ko‘mak” jamg‘armalari mablag‘lari hisobidan ijtimoiy yordam ko‘rsatish tizimini takomillashtirish chora-tadbirlari to‘g‘risida",23.07.2025,462,Y
102043,Toshkent va Farg‘ona viloyatlarida kriminogen vaziyati og‘ir mahallalar uchun ichki ishlar organlari profilaktika sohasida ko‘p yillik amaliy tajriba va samarali natijalarga ega pensionerlarni shartnoma asosida huquqbuzarliklar profilaktikasi faoliyatiga jalb qilish tartibi to‘g‘risidagi nizomni tasdiqlash haqida,23.07.2025,3651,Y
102044,O‘zbekiston Respublikasi Prezidentining “Sug‘urta xizmatlari bozorini yanada rivojlantirishning kompleks chora-tadbirlari to‘g‘risida” 2024-yil 1-martdagi PQ-108-son qarorini amalga oshirish chora-tadbirlari haqida,23.07.2025,458,Y
102045,"“Mikrokredit tashkilotlari va lombardlar tomonidan kassa operatsiyalarini amalga oshirish qoidalarini tasdiqlash haqida”gi qaror, shuningdek unga o‘zgartirish va qo‘shimchalarni o‘z kuchini yo‘qotgan deb topish to‘g‘risida",23.07.2025,1719-4,Y
102046,“Qattiq yoqilg‘idan foydalanish va uni hisobga olish qoidalarini tasdiqlash to‘g‘risida”gi buyruqqa o‘zgartirishlar kiritish haqida,23.07.2025,2096-3,Y
102047,Muvofiqlikni baholash organlarini akkreditatsiyadan o‘tkazish tartibi to‘g‘risidagi nizomga o‘zgartirishlar kiritish haqida,22.07.2025,456,Y
102048,Yer qa’ridan foydalanish qoidalarini buzish bilan bog‘liq huquqbuzarliklar haqida xabar bergan jismoniy shaxslarni pul mukofoti bilan rag‘batlantirish tartibi to‘g‘risidagi nizomni tasdiqlash to‘g‘risida,22.07.2025,457,Y
102049,Aholiga ipoteka kreditlari ajratilishining hadli shartlari to‘g‘risidagi nizomga o‘zgartirishlar kiritish haqida,21.07.2025,3269-1,Y
102050,Tijorat banklari kapitalining monandligiga qo‘yiladigan talablar to‘g‘risidagi nizomga o‘zgartirishlar kiritish haqida,21.07.2025,2693-14,Y
102051,Tijorat banklarida buxgalteriya hisobining hisobvaraqlar rejasiga o‘zgartirish va qo‘shimchalar kiritish haqida,21.07.2025,3336-3,Y
102052,Mehnatni muhofaza qilishni boshqarish tizimini joriy etish to‘g‘risida,21.07.2025,454,Y
102053,"O‘zbekiston Respublikasi Prezidenti va O‘zbekiston Respublikasi Hukumatining ayrim hujjatlariga o‘zgartirishlar kiritish, shuningdek, ba’zilarini o‘z kuchini yo‘qotgan deb hisoblash to‘g‘risida",19.07.2025,PF-114,Y
102054,Xorijiy investorlar kengashining navbatdagi majlisi doirasida erishilgan kelishuvlarning ijrosini ta’minlash chora-tadbirlari to‘g‘risida,18.07.2025,PQ-226,Y
102055,Davlat oliy ta’lim tashkilotlariga o‘qishga qabul qilishning davlat buyurtmasi parametrlarini tasdiqlash to‘g‘risida,18.07.2025,F-43,Y
102056,Ishi bevosita poyezdlar harakati bilan bog‘liq bo‘lgan temir yo‘l transporti ayrim toifadagi xodimlarining ish vaqti va dam olish vaqti rejimlari to‘g‘risidagi nizomni tasdiqlash haqida,17.07.2025,3650,Y
102057,"Vazirliklar, idoralar va mahalliy davlat hokimiyati organlariga tegishli bo‘sh turgan davlat ko‘chmas mulk obyektlarini ularning roziligisiz ijaraga berish yoki sotish uchun savdoga chiqarish tartibi to‘g‘risidagi nizomga o‘zgartirishlar kiritish haqida",17.07.2025,3403-3,Y
102058,“Auditorlik faoliyati to‘g‘risidagi ma’lumot shakli va uni to‘ldirish qoidalarini tasdiqlash haqida”gi buyruqqa o‘zgartirish va qo‘shimchalar kiritish to‘g‘risida,17.07.2025,2515-5,Y
102059,Mo‘g‘ulistonga oliy darajadagi tashrif davomida qishloq xo‘jaligi va oziq-ovqat sohalarida erishilgan kelishuvlarni amalga oshirish chora-tadbirlari to‘g‘risida,17.07.2025,PQ-225,Y
102060,Farg‘ona shahridagi avtobuslar tezkor va xavfsiz xarakatlanishi uchun tasmali yo‘l yotiq chiziqlar hamda  yo‘l belgilarini tashkil etish to‘g‘risida,17.07.2025,199-11-169-Q/25,Y
102061,O‘quvchilarning fiziologiya va antropometriya holatiga baho berish orqali ularni sport turlariga yo‘naltirish hamda sportni ommalashtirish chora-tadbirlari to‘g‘risida,17.07.2025,447,Y
102062,"“Ichki ishlar organlari tomonidan giyohvandlik vositalari, ularning analoglari, psixotrop moddalar va prekursorlar saqlanadigan obyekt hamda xonalarning texnik mustahkamligi, qo‘riqlash va yong‘indan darak beruvchi signalizatsiya vositalari hamda videokuzatuv tizimlari bilan jihozlanganligi holati ustidan nazoratni amalga oshirish tartibi to‘g‘risidagi nizomni tasdiqlash haqida”gi buyruqqa o‘zgartirishlar kiritish to‘g‘risida",17.07.2025,2041-5,Y
102063,Yangibozor tumanida maktab yoshidagi bolalarni umumiy o‘rta ta’limga to‘liq qamrab olish yuzasidan tumandagi umumta’lim muassasalarining mikrohududlarini belgilash to‘g‘risida,16.07.2025,170-12-178-Q/25,Y
102064,"Budjet xarajatlari samaradorligi ustidan tizimli nazorat o‘rnatish hamda mablag‘larni iqtisod qilishni ta’minlash bo‘yicha samarasiz, past samarali xarajatlarni maqbullashtirish, maqbullashtirilgan mablag‘lar hisobidan yo‘naltirish to‘g‘risida",16.07.2025,VII-11-56-6-89-K/25,Y
102065,"Olot tumanidagi geografik obyektlar (ko‘cha, tor ko‘cha, berk ko‘cha)ni nomlash to‘g‘risida",16.07.2025,VII-11-63-2-31-K/25,Y
102066,Qo‘shrabot tumandagi Tegirmonovul hamda Buloq mahalla fuqarolar yig‘inlari birlashtirilganligi va unga yangi nom berish to‘g‘risida,16.07.2025,VII-13-54-7-97-K/25,Y
102067,Qo‘shrabot tumani bo‘yicha 2025-yil sugʻorish va vigitatsiya davri uchun  suv olish limitlarini tasdiqlash to‘g‘risida,16.07.2025,VII-13-59-7-97-K/25,Y
102068,O‘zbekiston Respublikasining “Geografik obyektlarning nomlari to‘g‘risida”gi qonuniga muvofiq Bekobod tumanidagi mavjud geografik obyektlarni nomlash va qayta nomlash to‘g‘risida,16.07.2025,VII-16-86-10-135-K/25,Y
